时间戳记,Prefer Pronounce,Race and Ethnicity,Which institution/university do/did you go to?,"Year Standing (Choose the year the respondent is going to be in the next Autumn, not credit standing)",Major (Type in a Specific Major),Intended/Declared Major,"Have you had a leadership experience? If so, what kind?",NOTES:,Do you see yourself as a leader? Why or Why not?,yes/no,How do you feel about leading a team of 50+ employees as your FIRST JOB after graduation? Explain. (on a scale of 1-10 as ten being most confident),NOTES,NUMBER,Have you been to any career fair at your Institution/University? ,Have you visited the Amazon booth?,What do you remember from the Amazon booth? What did you like/dislike?,What would've improved your experience?,Do you feel that you have career opportunities at Amazon? Explain,What factors prevented you from visiting the Amazon Booth?,NOTES:,"If Amazon was looking for people in your major, would you apply for the job? Why or Why not?",NOTES:,YES/NO/Maybe
2017-7-12 下午06:05:12,She/Her,Caucasian,University of Washington,Junior,Medical anthropology and global health,Intended,No.,No,Yes. I take charge when I need to. ,yes(when needed),2. 50 people is a lot to manage. ,not confident,2,Yes,No,,,,Couldn't find it,Can't find,Maybe. If it was a position I was interested in,interest(position),maybe
2017-7-12 下午06:06:23,She/Her,Asian,University of Washington,Sophmore,ACMS,Declared,"Yes, RSO officers ",Club leader,"Yes, everyone can have different leadership styles",yes(everyone),"4, I feel I can do it after training and guidance alone  the way, I would prefer not to do this for the first job ","not confident, need training/experience",4,Yes,No,,,,I didn't find it ,Can't find,"Yes, I would like to find a job through all possible resource ",experience(any),yes
2017-7-12 下午06:08:57,She/Her,Asian,University of Washington,Sophmore,Architectural design and construction management,Intended,"Work, projects, volunteer","Work, mentor, Volunteer",I think i do because i am the person who takes everyone into consideration and look at the big picture. I also think i am because i know that being a leader does not mean a thing unless you have a team you trust and can work with.,yes(skill(manage)),"1-NO for my first job, i do not want to be i charge of such a large amount of people as it would be my first time with so many people.",not confident,1,Yes,No,,,,I did not know about it.,Unaware,Yes because i would like to see what i can do with my major for a company like amazon. Plus all experience is experience.,"experience(any), interest(major)",yes
2017-7-12 下午06:20:53,He/Him,Caucasian,University of Washington,Senior,Biochemistry,Declared,"Yes. I have been a tutor several times, and also work as a facilitator for the FIUTS organization who works with International students. ","Club leader, mentor, Organizational Leader","I do, Many of my roles in clubs and jobs have been in a leadership position, or assistant leader. ",yes(experience),"7, while I have done well at managing groups, I have never attempted to lead a group of that size. I'm nervous thinking about the group size, but in the past it has gone well with smaller groups.",prefer smaller group,7,Yes,No,,,,I usually only had a small amount of time between classes when fairs were in progress. As a Biochemistry major I was usually interested in other booths. Also I am not certain I saw the booth at ever career fair.,"Can't find, not the first choice","Yes, Amazon is a very influential company and I use its services frequently. If they are looking for a Biochem major I would definitely apply",interest(service),yes
2017-7-12 下午06:21:52,He/Him,Asian,University of Washington,Junior,Communications,Intended,In highschool i had multiple leadership roles in clubs and in ASB. But in college the only leadership experience i have is doing Dream Project mentoring. ,"Club leader, mentor",Yes i feel like i am able to make wise decisions and be rational. ,yes(skill(decision)),6,,6,Yes,No,,,,Never heard about it,Unaware,"yes, i think Amazon would be a great company to work for. ",interest(company),yes
2017-7-12 下午06:27:15,They/Them,Hispanic or Latino or Spanish Origin,University of Washington,Senior,LSJ,Declared,UW camp mentor ,mentor,"Yes, I have heavily contributed to many activities on campus and taken initiative on a few.",yes(experience),"I would say I would be a 5, because it's really dependent on the age group my team would consist of. ",it depends,5,Yes,No,,,,Amazon wasn't present ,Can't find,"Yes, I am always looking for new job opportunities. ",experience(any),yes
2017-7-12 下午06:29:02,He/Him,Asian,University of Washington,Sophmore,Business,Intended,Study group leader,Small group leader,"Yes, I am glad to stand out to organize work when a leadership is needed.",yes(skill(manage)),8,,8,No,,,,,,,"Yes. As a website focusing on saling online, it can bring me a better understanding of the market.",skill(market),yes
2017-7-12 下午06:36:40,He/Him,Hispanic or Latino or Spanish Origin,University of Washington,Junior,Communications,Intended,"Yes, Chapter President of Fraternity",Club leader(frat),Yes I do. I believe I have the appropriate skills needed to be a wise and effective leader. ,yes(skill),I would say 7. I would need to know more about leading a team in a job in a more professional setting. ,need training/experience,7,No,,,,,,,Yes I would. I've constantly looked for Amazon jobs or internships  on their careers site. ,experience(any),yes
2017-7-12 下午06:38:26,He/Him,"Asian, Native Hawaiian or Other Pacific Islander",University of Washington,Graduated from college,Industrial Design,Declared,"Yes, mostly at church as a small group leader.",Small group leader,"Not really. I am willing to step up to a leadership position if I am needed, or I am the oldest person around. But I don't see myself as a person with natural leadership attributes as defined by the world. Such as organized, out-spoken, etc.",no(lack-attributes),4. I may be willing to if it is leading people with no knowledge in a field where I studied or have more expertise in. And it definitely depends on the age of the members in the team as well.,it depends ,4,Yes,Yes,"They seemed friendly and they wanted to help students with their resumes and portfolios, even if they were not hiring at the moment. It was sad to hear that they weren't interested in industrial designers because the Seattle campus doesn't usually specialize in that department.","Maybe being given connections to different campuses, or hearing what Amazon is specifically looking for when hiring.","I feel that if I continue to build my resume and portfolio, then I have a legitimate chance at working for Amazon someday if I desire it.",,,"Yes, because I think it would be a great opportunity to learn from world-class designers, as well as be apart of an innovative team/company in technology and design.","skill(design), interest(service)",yes
2017-7-12 下午06:41:53,He/Him,"Native Hawaiian or Other Pacific Islander, Hispanic or Latino or Spanish Origin",University of Washington,Junior,Communication,Intended,"Yes, I have been team captain of a few sports teams and helped manage a small convenience store. ","Sport leader, Work","Yes, I see myself as a leader because I feel that I have helped my teammates grow and have pushed them to their full potential in sports and during team projects that I have been apart of.",yes(experience),On a scale of 1-10 I would say a 7. I feel that I could do the job throughly and be able to help the employees do their job efficiently. I do feel that it is a big task and would be nervous for the task though. ,confident,7,No,,,,,,,"Yes, I feel the Amazon name will always be beneficial on a resume",experience(resume),yes
2017-7-12 下午06:41:56,She/Her,Hispanic or Latino or Spanish Origin,University of Washington,Junior,ECFS,Intended,"Many student government positions, as an older family member, in different organizations both as a member and officer, was crowned queen of my town where I took on rolls of several community service events, spoke on behalf of my high school student body at different district meetings, television, and ceremonies.","Club leader, Small group leader, Organizational leader","Yes because I have always chose to be responsible in every situation, an extremely reliable, professions, hard working and always represent in a positive light.","yes(personality(hardwork, reliable)",I would say a 6. I feel as though if I hard the proper training I would find it very enjoyable and a fun challenge but if I'm given paperwork explaining why I am supposed to do and no further guidance I'm not sure the outcome would be very successful.,need training/experience,6,No,,,,,,,"Yes, it's a company that I know is going to be in business for many years so it's a stable and safe employment plus since it is a huge industry and not retail or fast food I'm sure they're are great benefits and you can work your way up the ladder and continue to be promoted.",interest(company),yes
2017-7-12 下午06:51:59,He/Him,Hispanic or Latino or Spanish Origin,University of Washington,Junior,"Education, Communities, and Organizations",Declared,"Yes, team captain for basketball. Setting up community service for fraternity.","Sport leader, Club leader(frat)","Yes, because I can work collaboratively with others and making sure everyone has an opportunity to participate.",yes(skill(collaborate)),I feel like I need more experience with leadership skills before I would do that after graduation.,need training/experience,,Yes,No,,,,It was too packed.,Long line,Yes I would because it's a well known corporation.,interest(company),yes
2017-7-12 下午07:02:46,He/Him,Black or African American,University of Washington,Junior,HCDE,Intended,"Yes. Leadership from leading clubs, and from leading a multi-million and multi-billion dollar companies. ","Club leader(frat), work","Yes, through my experiences. I see myself always taking charge to get projects done in a timely manner while being concerned for my co-workers health. ",yes(experience),Not really that bothered. I am already leading a team of 20+ in one startup and the other with 200+ employees as a C-level executive and board member. ,confident,,No,,,,,,,"I might consider. There are several factors that would come to place. What type of position and department will I be working on. I am more interested in cutting edge technologies. So if I was placed on a customer service team (call center or something similar) I would decline. But if the position was working on something like Alexa or Amazon Go, I would accept.",interest(position),maybe
